北京爱数智慧语音采集我们聊的第一个话题是娱乐  (G0004_S0001_0_SPK001-26.048-31.870.wav)
啊  (G0004_S0001_0_SPK001-1822.520-1823.087.wav)
嗯  (G0004_S0001_0_SPK001-1830.950-1832.260.wav)
周杰伦算算  (G0004_S0001_0_SPK001-1833.260-1835.516.wav)
上一个吧  (G0004_S0001_0_SPK001-1836.200-1837.450.wav)
然后  (G0004_S0001_0_SPK001-1837.940-1838.950.wav)
胡歌胡歌 yeahs  (G0004_S0001_0_SPK001-1839.440-1842.262.wav)
哎 very like胡歌啊他的他的 tv play is very very good  (G0004_S0001_0_SPK001-1842.788-1848.563.wav)
在我在我 a little还是 a little boy的时候啊就喜欢看他演的电视剧了  (G0004_S0001_0_SPK001-1849.820-1856.929.wav)
到现在还爱不是手呢  (G0004_S0001_0_SPK001-1856.929-1859.170.wav)
哦那你  (G0004_S0001_0_SPK001-1870.400-1871.620.wav)
那你喜欢他的  (G0004_S0001_0_SPK001-1873.947-1875.280.wav)
那你喜欢他的什么电视剧啊他演了  (G0004_S0001_0_SPK001-1880.030-1883.967.wav)
非常非常非常多的  (G0004_S0001_0_SPK001-1886.720-1889.470.wav)
嗯  (G0004_S0001_0_SPK001-1889.990-1890.760.wav)
吸引  (G0004_S0001_0_SPK001-1891.160-1892.020.wav)
哦 yeah yeah i remember  (G0004_S0001_0_SPK001-1904.360-1907.523.wav)
呃之前  (G0004_S0001_0_SPK001-1907.958-1909.000.wav)
嗯哦之前有有一部叫  (G0004_S0001_0_SPK001-1909.520-1914.067.wav)
嗯  (G0004_S0001_0_SPK001-1915.010-1915.937.wav)
登山的电视呃 movie  (G0004_S0001_0_SPK001-1917.950-1921.120.wav)
 do you remember卖  (G0004_S0001_0_SPK001-1921.970-1923.130.wav)
 yes单单那个珠穆朗玛峰啊  (G0004_S0001_0_SPK001-1935.470-1939.120.wav)
爷爷是一个 movi里面还有  (G0004_S0001_0_SPK001-1943.360-1946.473.wav)
还有  (G0004_S0001_0_SPK001-1946.840-1947.500.wav)
呃山  (G0004_S0001_0_SPK001-1947.890-1948.833.wav)
山嗯  (G0004_S0001_0_SPK001-1949.390-1950.885.wav)
 some star  (G0004_S0001_0_SPK001-1951.820-1952.980.wav)
呃比如说  (G0004_S0001_0_SPK001-1953.517-1954.833.wav)
还有吴京还有张译  (G0004_S0001_0_SPK001-1955.240-1957.810.wav)
 yes你是不是没有 say过啊  (G0004_S0001_0_SPK001-1967.180-1969.690.wav)
哦我这演的  (G0004_S0001_0_SPK001-1973.690-1975.184.wav)
哎还是非常  (G0004_S0001_0_SPK001-1976.858-1978.242.wav)
是ever very very好看你也  (G0004_S0001_0_SPK001-1978.619-1981.682.wav)
呃 sometime可以去看一下  (G0004_S0001_0_SPK001-1982.120-1985.050.wav)
哦可以的可以  (G0004_S0001_0_SPK001-1996.940-1998.636.wav)
哦可以呀  (G0004_S0001_0_SPK001-2001.470-2002.720.wav)
非常愿意  (G0004_S0001_0_SPK001-2003.120-2004.134.wav)
耶  (G0004_S0001_0_SPK001-2018.690-2019.640.wav)
哦  (G0004_S0001_0_SPK001-2020.220-2020.913.wav)
他这部剧在我  (G0004_S0001_0_SPK001-2021.360-2022.986.wav)
嗯  (G0004_S0001_0_SPK001-2023.444-2023.803.wav)
啊  (G0004_S0001_0_SPK001-2024.540-2025.125.wav)
啊还还是  (G0004_S0001_0_SPK001-2026.520-2028.013.wav)
呃杨 boy的时候  (G0004_S0001_0_SPK001-2028.697-2031.310.wav)
哦我就已经看过了  (G0004_S0001_0_SPK001-2031.770-2034.310.wav)
它有  (G0004_S0001_0_SPK001-2034.530-2035.540.wav)
他呃  (G0004_S0001_0_SPK001-2036.060-2037.154.wav)
好像 have  (G0004_S0001_0_SPK001-2037.920-2039.440.wav)
他  (G0004_S0001_0_SPK001-2039.690-2040.340.wav)
嗯两两部一个是  (G0004_S0001_0_SPK001-2040.680-2043.580.wav)
玩  (G0004_S0001_0_SPK001-2043.800-2044.630.wav)
万以  (G0004_S0001_0_SPK001-2045.030-2046.010.wav)
呃先见其他传  (G0004_S0001_0_SPK001-2046.320-2048.139.wav)
一还有一个三  (G0004_S0001_0_SPK001-2048.420-2050.179.wav)
是吧  (G0004_S0001_0_SPK001-2051.690-2052.400.wav)
简直  (G0004_S0001_0_SPK001-2055.770-2056.462.wav)
离旦一旦成神被嗯你的简直是 nationary  (G0004_S0001_0_SPK001-2057.179-2061.955.wav)
是传说啊  (G0004_S0001_0_SPK001-2062.580-2063.712.wav)
那他们是  (G0004_S0001_0_SPK001-2083.880-2084.815.wav)
对  (G0004_S0001_0_SPK001-2085.530-2086.150.wav)
呃刘师师啊  (G0004_S0001_0_SPK001-2098.370-2100.093.wav)
哦  (G0004_S0001_0_SPK001-2100.980-2101.660.wav)
 beautiful girl  (G0004_S0001_0_SPK001-2103.707-2104.930.wav)
胆胆事儿  (G0004_S0001_0_SPK001-2108.390-2109.800.wav)
哎呦  (G0004_S0001_0_SPK001-2110.160-2110.900.wav)
我怎么没有  (G0004_S0001_0_SPK001-2111.690-2113.060.wav)
我怎么 i don't know  (G0004_S0001_0_SPK001-2113.970-2115.977.wav)
哦看来我还  (G0004_S0001_0_SPK001-2127.865-2129.440.wav)
是 known的太少了 no太少了  (G0004_S0001_0_SPK001-2129.720-2133.162.wav)
还需要  (G0004_S0001_0_SPK001-2136.168-2137.082.wav)
 study  (G0004_S0001_0_SPK001-2137.790-2138.480.wav)
 yes对  (G0004_S0001_0_SPK001-2144.330-2145.370.wav)
哦  (G0004_S0001_0_SPK001-2155.228-2156.242.wav)
哦梁士民想一想  (G0004_S0001_0_SPK001-2157.410-2160.003.wav)
 oh爱声音  (G0004_S0001_0_SPK001-2162.360-2163.490.wav)
 i think  (G0004_S0001_0_SPK001-2165.707-2166.610.wav)
安神处呃到了  (G0004_S0001_0_SPK001-2167.760-2171.140.wav)
还有  (G0004_S0001_0_SPK001-2172.650-2173.341.wav)
呃平时  (G0004_S0001_0_SPK001-2173.970-2175.850.wav)
小安  (G0004_S0001_0_SPK001-2176.130-2177.110.wav)
去过  (G0004_S0001_0_SPK001-2177.984-2178.895.wav)
这个密室逃脱  (G0004_S0001_0_SPK001-2180.720-2182.720.wav)
 do you play  (G0004_S0001_0_SPK001-2184.620-2185.510.wav)
还有  (G0004_S0001_0_SPK001-2192.720-2193.641.wav)
哦他的  (G0004_S0001_0_SPK001-2193.890-2195.004.wav)
呃它的里面的呃  (G0004_S0001_0_SPK001-2195.390-2198.200.wav)
 environment environment非常的刺激非常的  (G0004_S0001_0_SPK001-2198.750-2203.271.wav)
呃恐怖  (G0004_S0001_0_SPK001-2203.880-2205.155.wav)
 yes yes  (G0004_S0001_0_SPK001-2206.538-2207.950.wav)
嗯令人非常的 setting  (G0004_S0001_0_SPK001-2208.260-2210.228.wav)
哦  (G0004_S0001_0_SPK001-2218.280-2219.320.wav)
分人吧如果是  (G0004_S0001_0_SPK001-2219.864-2221.480.wav)
嗯 boy的话我觉得会好一点但是  (G0004_S0001_0_SPK001-2221.940-2225.085.wav)
像你们这种歌的话会可能会感觉到很恐怖啊  (G0004_S0001_0_SPK001-2225.319-2229.963.wav)
是的是的  (G0004_S0001_0_SPK001-2240.060-2241.490.wav)
 yes是  (G0004_S0001_0_SPK001-2246.810-2248.082.wav)
好你呢 with your friend  (G0004_S0001_0_SPK001-2248.550-2250.910.wav)
一起去这样会  (G0004_S0001_0_SPK001-2251.190-2253.220.wav)
呃  (G0004_S0001_0_SPK001-2253.560-2254.390.wav)
会好一点题  (G0004_S0001_0_SPK001-2255.157-2256.872.wav)
体验会好一点哦  (G0004_S0001_0_SPK001-2257.310-2259.220.wav)
是的是的  (G0004_S0001_0_SPK001-2265.890-2266.856.wav)
哦  (G0004_S0001_0_SPK001-2275.700-2276.500.wav)
哦  (G0004_S0001_0_SPK001-2280.620-2282.020.wav)
你平常还有什么娱乐活动吗  (G0004_S0001_0_SPK001-2282.450-2285.590.wav)
三  (G0004_S0001_0_SPK001-2286.050-2286.853.wav)
 matter ten minute  (G0004_S0001_0_SPK001-2287.790-2288.980.wav)
 wow  (G0004_S0001_0_SPK001-2306.510-2307.430.wav)
 wow  (G0004_S0001_0_SPK001-2309.060-2309.980.wav)
 yes呃 sometimes  (G0004_S0001_0_SPK001-2314.548-2317.142.wav)
嗯会  (G0004_S0001_0_SPK001-2317.910-2319.220.wav)
 how my roommates  (G0004_S0001_0_SPK001-2319.620-2322.100.wav)
一起去  (G0004_S0001_0_SPK001-2322.620-2323.615.wav)
啊 our或者有我的 friends一起去  (G0004_S0001_0_SPK001-2324.150-2328.102.wav)
呃 k t v  (G0004_S0001_0_SPK001-2328.560-2330.080.wav)
唱  (G0004_S0001_0_SPK001-2330.630-2331.196.wav)
 why you hear play  (G0004_S0001_0_SPK001-2331.980-2333.072.wav)
 pay sometimes  (G0004_S0001_0_SPK001-2333.360-2335.075.wav)
 birds  (G0004_S0001_0_SPK001-2346.470-2347.480.wav)
 yes  (G0004_S0001_0_SPK001-2352.620-2353.976.wav)
没有画画题吧  (G0004_S0001_0_SPK001-2358.830-2360.080.wav)
时间还没到吗  (G0004_S0001_0_SPK001-2364.560-2365.630.wav)
他没说呀  (G0004_S0001_0_SPK001-2369.120-2369.985.wav)
那我们继续聊  (G0004_S0001_0_SPK001-2376.290-2378.140.wav)
鱼肉  (G0004_S0001_0_SPK001-2390.930-2391.801.wav)
好像  (G0004_S0001_0_SPK001-2392.550-2393.565.wav)
哦  (G0004_S0001_0_SPK001-2407.310-2408.155.wav)
洛阳  (G0004_S0001_0_SPK001-2408.900-2409.880.wav)
你不会感到 scared吗  (G0004_S0001_0_SPK001-2416.220-2418.430.wav)
害怕吗  (G0004_S0001_0_SPK001-2419.130-2420.110.wav)
在这种去一些 forest  (G0004_S0001_0_SPK001-2422.250-2425.270.wav)
森林  (G0004_S0001_0_SPK001-2425.610-2426.701.wav)
去见着  (G0004_S0001_0_SPK001-2426.930-2428.600.wav)
哎呀那你喜欢  (G0004_S0001_0_SPK001-2436.620-2437.983.wav)
喜欢掉 fish吗或者小龙虾呀  (G0004_S0001_0_SPK001-2438.600-2442.390.wav)
那  (G0004_S0001_0_SPK001-2446.160-2446.616.wav)
耶  (G0004_S0001_0_SPK001-2448.410-2449.185.wav)
这是我从小就从小的啊  (G0004_S0001_0_SPK001-2449.766-2453.598.wav)
呃 heavy  (G0004_S0001_0_SPK001-2454.500-2455.675.wav)
 heavy爱好吗  (G0004_S0001_0_SPK001-2456.420-2458.180.wav)
每次玩儿过的  (G0004_S0001_0_SPK001-2461.280-2462.352.wav)
非常非常的  (G0004_S0001_0_SPK001-2463.320-2464.750.wav)
呃不错  (G0004_S0001_0_SPK001-2465.210-2466.493.wav)
 what  (G0004_S0001_0_SPK001-2474.086-2474.710.wav)
哦  (G0004_S0001_0_SPK001-2482.700-2483.690.wav)
 i  (G0004_S0001_0_SPK001-2484.140-2485.000.wav)
嗯  (G0004_S0001_0_SPK001-2487.560-2488.223.wav)
 let me thank  (G0004_S0001_0_SPK001-2488.766-2490.070.wav)
让我想想  (G0004_S0001_0_SPK001-2491.340-2492.440.wav)
 yes  (G0004_S0001_0_SPK001-2504.000-2505.492.wav)
对我们平常还有  (G0004_S0001_0_SPK001-2506.130-2507.685.wav)
还有  (G0004_S0001_0_SPK001-2508.380-2509.185.wav)
上班这 money啊  (G0004_S0001_0_SPK001-2510.807-2512.876.wav)
周末的呃就是玩耍来时  (G0004_S0001_0_SPK001-2514.200-2516.695.wav)
滑上来看  (G0004_S0001_0_SPK001-2517.110-2518.090.wav)
 what  (G0004_S0001_0_SPK001-2519.660-2520.340.wav)
哦  (G0004_S0001_0_SPK001-2524.670-2525.590.wav)
哦你还要  (G0004_S0001_0_SPK001-2554.430-2555.973.wav)
你还 play这些 game game  (G0004_S0001_0_SPK001-2556.350-2558.871.wav)
我觉得啊我平常玩的少你平常啊  (G0004_S0001_0_SPK001-2559.290-2563.720.wav)
你平常  (G0004_S0001_0_SPK001-2564.237-2565.250.wav)
玩和谁玩啊  (G0004_S0001_0_SPK001-2566.580-2569.150.wav)
有有过什么非常  (G0004_S0001_0_SPK001-2570.496-2572.033.wav)
令人非常 exciting的  (G0004_S0001_0_SPK001-2572.338-2574.180.wav)
呃  (G0004_S0001_0_SPK001-2574.620-2575.450.wav)
游戏吗  (G0004_S0001_0_SPK001-2576.090-2576.827.wav)
玩偶  (G0004_S0001_0_SPK001-2587.820-2588.800.wav)
还会说出  (G0004_S0001_0_SPK001-2589.620-2590.794.wav)
它的 name吗  (G0004_S0001_0_SPK001-2591.330-2592.700.wav)
他给的  (G0004_S0001_0_SPK001-2615.060-2616.040.wav)
 ok  (G0004_S0001_0_SPK001-2622.476-2623.436.wav)
 i like  (G0004_S0001_0_SPK001-2625.140-2626.090.wav)
 yes  (G0004_S0001_0_SPK001-2634.800-2635.870.wav)
 ok哎 i can  (G0004_S0001_0_SPK001-2642.960-2645.413.wav)
好是  (G0004_S0001_0_SPK001-2656.070-2657.622.wav)
我的天呐  (G0004_S0001_0_SPK001-2661.830-2663.140.wav)
你要不  (G0004_S0001_0_SPK001-2670.050-2671.120.wav)
 it has你要不我问一下是问他就是还没合格吗  (G0004_S0001_0_SPK001-2671.820-2675.860.wav)
啊  (G0004_S0001_0_SPK001-2681.990-2682.910.wav)
哦他说百个消息是不是我们  (G0004_S0001_0_SPK001-2687.274-2689.251.wav)
太广了呀  (G0004_S0001_0_SPK001-2690.880-2691.840.wav)
管管吗  (G0004_S0001_0_SPK001-2700.148-2701.627.wav)
哈  (G0004_S0001_0_SPK001-2703.620-2704.240.wav)
那么还是分女的  (G0004_S0001_0_SPK007-4.386-5.441.wav)
哦  (G0004_S0001_0_SPK007-6.500-7.150.wav)
正那天鬼擦了  (G0004_S0001_0_SPK007-10.656-11.805.wav)
嗯好  (G0004_S0001_0_SPK007-22.490-23.290.wav)
北京爱数智慧采集  (G0004_S0001_0_SPK007-35.157-37.894.wav)
那话题是旅游  (G0004_S0001_0_SPK007-38.270-40.000.wav)
然后开始  (G0004_S0001_0_SPK007-40.760-41.890.wav)
诶你 hello  (G0004_S0001_0_SPK007-43.610-45.520.wav)
 a do you like travel  (G0004_S0001_0_SPK007-46.040-49.126.wav)
 famous斯  (G0004_S0001_0_SPK007-74.150-75.670.wav)
哦  (G0004_S0001_0_SPK007-76.280-77.140.wav)
啊比如  (G0004_S0001_0_SPK007-77.480-78.640.wav)
比如你去哪个地方啊  (G0004_S0001_0_SPK007-80.210-83.329.wav)
 as they嗯 yes  (G0004_S0001_0_SPK007-103.520-104.800.wav)
哦耶  (G0004_S0001_0_SPK007-106.700-107.680.wav)
 best friend  (G0004_S0001_0_SPK007-109.850-111.220.wav)
哦  (G0004_S0001_0_SPK007-112.640-113.260.wav)
嗯  (G0004_S0001_0_SPK007-142.280-143.217.wav)
哦  (G0004_S0001_0_SPK007-155.108-156.005.wav)
哦 yes  (G0004_S0001_0_SPK007-174.260-175.341.wav)
呃 hurt is very nice  (G0004_S0001_0_SPK007-176.090-178.090.wav)
嗯成都  (G0004_S0001_0_SPK007-178.520-179.890.wav)
成都 c t那个欢乐谷的水上乐园我也玩过呃我觉得还是  (G0004_S0001_0_SPK007-180.140-188.320.wav)
非常 relaxing exciting  (G0004_S0001_0_SPK007-188.420-190.990.wav)
嗯  (G0004_S0001_0_SPK007-193.850-194.770.wav)
啊特嗯  (G0004_S0001_0_SPK007-196.250-197.382.wav)
哦  (G0004_S0001_0_SPK007-209.480-210.370.wav)
哦是你们 want  (G0004_S0001_0_SPK007-210.650-212.416.wav)
嗯  (G0004_S0001_0_SPK007-214.280-214.960.wav)
 yes  (G0004_S0001_0_SPK007-216.338-217.000.wav)
哦好是你们就是  (G0004_S0001_0_SPK007-217.370-219.472.wav)
嗯 very want  (G0004_S0001_0_SPK007-219.830-221.677.wav)
想呃玩儿的项目  (G0004_S0001_0_SPK007-222.020-224.290.wav)
 yes  (G0004_S0001_0_SPK007-224.917-225.580.wav)
哦确实可能是  (G0004_S0001_0_SPK007-226.400-227.920.wav)
嗯  (G0004_S0001_0_SPK007-228.590-229.210.wav)
哦  (G0004_S0001_0_SPK007-233.600-234.430.wav)
对  (G0004_S0001_0_SPK007-238.940-239.710.wav)
哦  (G0004_S0001_0_SPK007-242.448-243.089.wav)
嗯或许或许 that day  (G0004_S0001_0_SPK007-243.530-247.480.wav)
呃 many people  (G0004_S0001_0_SPK007-247.910-249.730.wav)
嗯  (G0004_S0001_0_SPK007-257.390-258.084.wav)
哦厉害也  (G0004_S0001_0_SPK007-265.563-267.460.wav)
呃 i remember  (G0004_S0001_0_SPK007-278.330-279.790.wav)
嗯高中 graduate  (G0004_S0001_0_SPK007-280.163-282.970.wav)
嗯就是 alone  (G0004_S0001_0_SPK007-283.880-286.028.wav)
嗯坐着大巴车开开尔  (G0004_S0001_0_SPK007-286.430-289.930.wav)
去那个  (G0004_S0001_0_SPK007-290.180-291.670.wav)
嗯这江 progress neighbor city  (G0004_S0001_0_SPK007-292.010-295.240.wav)
然后和我的  (G0004_S0001_0_SPK007-295.610-297.670.wav)
 parent parents  (G0004_S0001_0_SPK007-298.700-300.880.wav)
嗯 look see  (G0004_S0001_0_SPK007-301.460-304.180.wav)
然后  (G0004_S0001_0_SPK007-306.260-307.120.wav)
 yes对  (G0004_S0001_0_SPK007-307.460-308.770.wav)
 right嗯但  (G0004_S0001_0_SPK007-309.770-311.124.wav)
但是那天然后因为  (G0004_S0001_0_SPK007-311.360-315.550.wav)
嗯天气的原因然后没有 look see  (G0004_S0001_0_SPK007-316.100-320.050.wav)
就只是做了一个  (G0004_S0001_0_SPK007-320.360-322.570.wav)
哦轮船  (G0004_S0001_0_SPK007-323.810-325.120.wav)
然后就  (G0004_S0001_0_SPK007-326.120-327.610.wav)
穿过海过去就看了一下  (G0004_S0001_0_SPK007-327.860-330.370.wav)
就是这片海的话 the sea就没有我想象的那么 blue  (G0004_S0001_0_SPK007-330.620-337.417.wav)
嗯  (G0004_S0001_0_SPK007-350.990-351.700.wav)
嗯  (G0004_S0001_0_SPK007-356.900-357.610.wav)
嗯  (G0004_S0001_0_SPK007-370.910-371.710.wav)
哦  (G0004_S0001_0_SPK007-404.300-404.980.wav)
嗯  (G0004_S0001_0_SPK007-413.540-414.370.wav)
就去到  (G0004_S0001_0_SPK007-414.768-415.972.wav)
而另一个地方  (G0004_S0001_0_SPK007-416.420-417.790.wav)
嗯  (G0004_S0001_0_SPK007-420.050-420.760.wav)
 a好好像就是你说的那个地方好像  (G0004_S0001_0_SPK007-421.369-424.750.wav)
嗯  (G0004_S0001_0_SPK007-424.970-425.740.wav)
哦我们 they they  (G0004_S0001_0_SPK007-426.350-428.320.wav)
 a these days就是那天然后也是因为想去那个就是比较飞摩的地方  (G0004_S0001_0_SPK007-428.630-436.631.wav)
嗯也是不对外开放然后所以就到了另一个地方  (G0004_S0001_0_SPK007-437.120-442.150.wav)
所以就是来回奔波就差不多  (G0004_S0001_0_SPK007-443.017-446.991.wav)
 spend time都在  (G0004_S0001_0_SPK007-447.230-449.410.wav)
嗯 take car  (G0004_S0001_0_SPK007-449.870-451.330.wav)
嗯 yes  (G0004_S0001_0_SPK007-458.393-459.938.wav)
嗯  (G0004_S0001_0_SPK007-461.382-462.168.wav)
然后就是高中 grauate吗  (G0004_S0001_0_SPK007-462.418-465.190.wav)
然后上大学的时候就 university  (G0004_S0001_0_SPK007-465.410-469.341.wav)
嗯 with friend or  (G0004_S0001_0_SPK007-469.638-472.450.wav)
嗯 glassmate  (G0004_S0001_0_SPK007-473.120-474.430.wav)
嗯去我们学校锅周边然后那个黄龙西  (G0004_S0001_0_SPK007-475.070-481.540.wav)
然后不知道你们去没去过黄东西  (G0004_S0001_0_SPK007-481.700-484.900.wav)
真的吗  (G0004_S0001_0_SPK007-493.931-494.860.wav)
啊 oneow river玩  (G0004_S0001_0_SPK007-517.669-519.280.wav)
对  (G0004_S0001_0_SPK007-526.940-527.740.wav)
嗯主要是  (G0004_S0001_0_SPK007-531.560-533.440.wav)
嗯 it many foods因为那边的 street大部分都是  (G0004_S0001_0_SPK007-533.960-541.000.wav)
嗯  (G0004_S0001_0_SPK007-541.484-542.410.wav)
嗯 sto i'm food stories  (G0004_S0001_0_SPK007-543.320-545.830.wav)
然后也会有一些精品 stories  (G0004_S0001_0_SPK007-547.850-551.415.wav)
哦  (G0004_S0001_0_SPK007-556.310-556.990.wav)
熬夜 s  (G0004_S0001_0_SPK007-558.470-559.582.wav)
嗯那个 river  (G0004_S0001_0_SPK007-559.910-562.000.wav)
 yes  (G0004_S0001_0_SPK007-562.580-563.290.wav)
嗯那个 river就是会有 many child  (G0004_S0001_0_SPK007-563.960-568.330.wav)
嗯 over  (G0004_S0001_0_SPK007-568.910-570.233.wav)
 teenager  (G0004_S0001_0_SPK007-570.473-571.414.wav)
嗯 some girls  (G0004_S0001_0_SPK007-571.910-573.670.wav)
 are boys  (G0004_S0001_0_SPK007-574.850-576.190.wav)
嗯一起 play river  (G0004_S0001_0_SPK007-577.640-579.820.wav)
嗯对于就是 summer还是比较耶 n u c  (G0004_S0001_0_SPK007-583.670-588.310.wav)
然后没有没有 no no no  (G0004_S0001_0_SPK007-593.000-595.181.wav)
呃 the river  (G0004_S0001_0_SPK007-595.520-597.040.wav)
嗯 water is  (G0004_S0001_0_SPK007-597.320-599.410.wav)
嗯非常就是浅的就是没有像嗯  (G0004_S0001_0_SPK007-600.110-604.960.wav)
 a look see那样深  (G0004_S0001_0_SPK007-605.360-607.600.wav)
就是可以嗯  (G0004_S0001_0_SPK007-608.870-611.440.wav)
呃 talk of shoes然后用 food踩在水里  (G0004_S0001_0_SPK007-613.010-619.060.wav)
啊 play water  (G0004_S0001_0_SPK007-620.210-621.820.wav)
啊 yes  (G0004_S0001_0_SPK007-628.460-629.440.wav)
呃 yes or about  (G0004_S0001_0_SPK007-652.460-655.450.wav)
嗯 remember  (G0004_S0001_0_SPK007-655.880-657.220.wav)
嗯然后  (G0004_S0001_0_SPK007-658.700-660.850.wav)
嗯好像很多就是  (G0004_S0001_0_SPK007-661.340-664.509.wav)
 student stud a classroom  (G0004_S0001_0_SPK007-666.200-669.400.wav)
然后去了成都 city  (G0004_S0001_0_SPK007-669.650-672.550.wav)
嗯会去比如 example  (G0004_S0001_0_SPK007-672.980-676.570.wav)
嗯春熙 road  (G0004_S0001_0_SPK007-676.880-679.210.wav)
嗯  (G0004_S0001_0_SPK007-679.790-680.740.wav)
仅理  (G0004_S0001_0_SPK007-681.230-682.300.wav)
嗯  (G0004_S0001_0_SPK007-683.090-684.190.wav)
啊五豪词  (G0004_S0001_0_SPK007-685.520-687.190.wav)
呃不知道 do you go to  (G0004_S0001_0_SPK007-687.680-691.270.wav)
啊  (G0004_S0001_0_SPK007-709.370-710.050.wav)
 delicious  (G0004_S0001_0_SPK007-716.060-716.879.wav)
柱子嗯  (G0004_S0001_0_SPK007-717.560-718.660.wav)
也  (G0004_S0001_0_SPK007-720.860-721.720.wav)
哦 yes i eat  (G0004_S0001_0_SPK007-730.520-732.610.wav)
啊  (G0004_S0001_0_SPK007-739.160-740.080.wav)
嗯  (G0004_S0001_0_SPK007-741.461-742.285.wav)
嗯那个春熙柔的  (G0004_S0001_0_SPK007-743.540-746.170.wav)
嗯 you go going  (G0004_S0001_0_SPK007-746.552-749.793.wav)
 to shopping  (G0004_S0001_0_SPK007-750.146-751.300.wav)
哦 yes  (G0004_S0001_0_SPK007-786.770-788.110.wav)
哦全鲜肉的  (G0004_S0001_0_SPK007-788.390-789.950.wav)
嗯 have many people  (G0004_S0001_0_SPK007-790.368-792.481.wav)
嗯都是 from  (G0004_S0001_0_SPK007-792.800-795.040.wav)
